Title,Subtitle,Location,Price per night,Discounted price per night,Price per week,Stars,Number Traveler,Number Room,Number Bed,Number Bathroom,Equipment,url,latitude,longitude,jours reserves,periode reservation,City,Number annonce,euros,type_logement,Test_Equipment
Studio cosy avec terrasse proche gare/centre ville,Logement entier : appartement . Chez Arnaud2 voyageurs *  * Studio *  * 1 lit *  * 1 salle de bain,"La Rochelle, Nouvelle-Aquitaine, France",32 EUR,29 EUR ,269 EUR,"4,72 *",2 voyageurs ,1 chambre, 1 lit , 1 salle de bain,"['Cuisine', 'Wifi', 'Espace de travail dedie', 'Parking gratuit sur place', 'Television', 'Ascenseur', 'Lave-linge', 'Patio ou balcon\xa0: prive(e)', 'Refrigerateur']",https://www.airbnb.fr/rooms/6288407?check_in=2024-07-06&check_out=2024-07-13&source_impression_id=p3_1696866539_fb1P27BLAZvI9cVc&previous_page_section_name=1000&federated_search_id=742b244c-d57d-4816-adcb-ef74477e6c24,46.14885,-1.14866,22,01/06/2024 - 30/09/2024,La Rochelle,6288407,32,appartement,"'cuisine', 'wifi', 'espace de travail dedie', 'parking gratuit sur place', 'television', 'ascenseur', 'lave-linge', 'patio ou balcon\xa0: prive(e)', 'refrigerateur'"
Studio coconning Proche de Rochefort et Fouras,Logement entier : appartement . Chez Aurelie FLORENT2 voyageurs *  * Studio *  * 2 lits *  * 1 salle de bain et 1 toilette,"Saint-Laurent-de-la-Pree, Nouvelle-Aquitaine, France",22 EUR ,,214 EUR,"4,64 *",2 voyageurs ,1 chambre, 2 lits , 1 salle de bain et 1 toilette,"['Acces plage ou bord de mer', 'Cuisine', 'Wifi', 'Parking gratuit sur place', 'Television', 'Patio ou balcon', 'Arriere-cour', 'Refrigerateur', 'Four a micro-ondes']",https://www.airbnb.fr/rooms/32757299?check_in=2024-07-06&check_out=2024-07-13&source_impression_id=p3_1696866539_rdl68nB8aCFbQG4I&previous_page_section_name=1000&federated_search_id=742b244c-d57d-4816-adcb-ef74477e6c24,45.99357,-1.03888,0,01/06/2024 - 30/09/2024,Saint-Laurent-de-la-Pree,32757299,22,appartement,"'acces plage ou bord de mer', 'cuisine', 'wifi', 'parking gratuit sur place', 'television', 'patio ou balcon', 'arriere-cour', 'refrigerateur', 'four a micro-ondes'"
Appartement proche plage,,"Chatelaillon-Plage, Nouvelle-Aquitaine, France",80 EUR,64 EUR ,610 EUR,,4 voyageurs ,1 chambre, 1 lit , 1 salle de bain et 1 toilette,"['Acces a la plage', 'Cuisine', 'Wifi', 'Parking gratuit sur place', 'TV 56""', 'Lave-linge (Gratuit) dans le logement', 'Seche-cheveux', 'Refrigerateur']",https://www.airbnb.fr/rooms/914333646740154945?check_in=2024-07-06&check_out=2024-07-13&source_impression_id=p3_1696866539_QB%2F8v6FCk%2F1TwWNx&previous_page_section_name=1000&federated_search_id=742b244c-d57d-4816-adcb-ef74477e6c24,46.06422,-1.09047,0,01/06/2024 - 30/09/2024,Chatelaillon-Plage,914333646740154945,80,appartement,"'acces a la plage', 'cuisine', 'wifi', 'parking gratuit sur place', 'tv 56""', 'lave-linge (gratuit) dans le logement', 'seche-cheveux', 'refrigerateur'"
Chambre dans villa 50 m de la plage,,"Chatelaillon-Plage, Poitou-Charentes, France",45 EUR ,,374 EUR,,1 lit ,1 chambre,,,"['Wifi', 'Espace de travail dedie', 'Parking gratuit sur place', 'Television', 'Arriere-cour', 'Seche-cheveux', 'Petit dejeuner']",https://www.airbnb.fr/rooms/7173581?category_tag=Tag%3A8678&enable_m3_private_room=true&photo_id=50483086&check_in=2024-07-06&check_out=2024-07-13&source_impression_id=p3_1696866539_g%2F0aglkR09KVowPk&previous_page_section_name=1000&federated_search_id=742b244c-d57d-4816-adcb-ef74477e6c24,46.08192,-1.09586,0,01/06/2024 - 30/09/2024,Chatelaillon-Plage,7173581,45,villa,"'wifi', 'espace de travail dedie', 'parking gratuit sur place', 'television', 'arriere-cour', 'seche-cheveux', 'petit dejeuner'"
10mn de LA ROCHELLE STUD. 24 m2 + Pkg   NON FUMEUR,Logement entier : logement . Chez Eliane2 voyageurs *  * Studio *  * 1 lit *  * 1 salle de bain,"La Jarne, Charente-Maritime, France",42 EUR ,,360 EUR,"4,90 *",2 voyageurs ,1 chambre, 1 lit , 1 salle de bain,"['Acces plage\xa0: Public ou partage', 'Cuisine', 'Wifi', 'Espace de travail dedie', 'Allee de stationnement gratuite sur place\xa0: 1\xa0place', 'Television', 'Patio ou balcon', 'Arriere-cour', 'Cameras de surveillance exterieure et/ou dans les espaces communs']",https://www.airbnb.fr/rooms/34666491?check_in=2024-07-06&check_out=2024-07-13&source_impression_id=p3_1696866539_DwRmLAsnm1cCb80C&previous_page_section_name=1000&federated_search_id=742b244c-d57d-4816-adcb-ef74477e6c24,46.12701,-1.07183,0,01/06/2024 - 30/09/2024,La Jarne,34666491,42,logement,"'acces plage\xa0: public ou partage', 'cuisine', 'wifi', 'espace de travail dedie', 'allee de stationnement gratuite sur place\xa0: 1\xa0place', 'television', 'patio ou balcon', 'arriere-cour', 'cameras de surveillance exterieure et/ou dans les espaces communs'"
La Rochelle studio  ANGOULINS 17690,,"Angoulins, Poitou-Charentes, France",45 EUR ,,403 EUR,,2 voyageurs ,1 chambre, 1 lit , 1 salle de bain privee,"['Cuisine', 'Parking gratuit sur place', 'Animaux acceptes', 'Television']",https://www.airbnb.fr/rooms/1271740?check_in=2024-07-06&check_out=2024-07-13&source_impression_id=p3_1696866539_cBUD7juh1fVk0pNm&previous_page_section_name=1000&federated_search_id=742b244c-d57d-4816-adcb-ef74477e6c24,46.10606,-1.10761,0,01/06/2024 - 30/09/2024,Angoulins,1271740,45,appartement,"'cuisine', 'parking gratuit sur place', 'animaux acceptes', 'television'"
Charmant studio  coeur  de ville,,"La Rochelle, Poitou-Charentes, France",40 EUR,34 EUR ,303 EUR,,2 voyageurs ,1 chambre, 1 lit , 1 salle de bain,"['Acces a la plage', 'Cuisine', 'Television', 'Baignoire', 'Seche-cheveux', 'Refrigerateur', 'Four a micro-ondes', 'Petit dejeuner', ""Stationnement payant a l'exterieur de la propriete""]",https://www.airbnb.fr/rooms/7161155?check_in=2024-07-06&check_out=2024-07-13&source_impression_id=p3_1696866843_t9BWt%2FZwHpGP%2F%2F1j&previous_page_section_name=1000&federated_search_id=05563926-fa48-43da-bb4f-867c9f97ffa8,46.16009,-1.15174,30,01/06/2024 - 30/09/2024,La Rochelle,7161155,40,appartement,"'acces a la plage', 'cuisine', 'television', 'baignoire', 'seche-cheveux', 'refrigerateur', 'four a micro-ondes', 'petit dejeuner', ""stationnement payant a l'exterieur de la propriete"""
Maison independante a Oleron (reference :FR8PVN86),,"Saint-Georges-d'Oleron, Poitou-Charentes, France",56 EUR ,,474 EUR,,2 voyageurs ,1 chambre, 1 lit , 1 salle de bain,"['Cuisine', 'Wifi', 'Parking gratuit sur place', 'TV HD avec abonnement standard au cable', 'Station de recharge pour vehicules electriques', 'Lave-linge', 'Patio ou balcon\xa0: prive(e)', 'Arriere-cour privee - Cloture partielle', 'Depot de bagages autorise']",https://www.airbnb.fr/rooms/5721537?check_in=2024-07-06&check_out=2024-07-13&source_impression_id=p3_1696866201_PkQsgF3LBOeIkapW&previous_page_section_name=1000&federated_search_id=6cc3d322-cf04-4f09-b3f5-b189af65d315,45.97563,-1.34218,24,01/06/2024 - 30/09/2024,Saint-Georges-d'Oleron,5721537,56,maison,"'cuisine', 'wifi', 'parking gratuit sur place', 'tv hd avec abonnement standard au cable', 'station de recharge pour vehicules electriques', 'lave-linge', 'patio ou balcon\xa0: prive(e)', 'arriere-cour privee - cloture partielle', 'depot de bagages autorise'"
Le Pallicien - La Rochelle/ ile de Re - Climatise,,"La Rochelle, Nouvelle-Aquitaine, France",36 EUR ,,306 EUR,,2 voyageurs ,1 chambre, 1 lit , 1 salle de bain,"['Acces plage ou bord de mer', 'Cuisine', 'Wifi rapide (521\xa0Mbit/s)', 'Parking gratuit dans la rue', 'Television', 'Lave-linge', 'Climatisation\xa0: systeme split sans evacuation', 'Seche-cheveux', 'Cameras de surveillance exterieure et/ou dans les espaces communs']",https://www.airbnb.fr/rooms/43645867?check_in=2024-07-06&check_out=2024-07-13&source_impression_id=p3_1696865892_yPTdDpTVapJre4qk&previous_page_section_name=1000&federated_search_id=22ef6c11-49bb-449c-bb4c-ababbd9e6c29,46.16713,-1.20008,0,01/06/2024 - 30/09/2024,La Rochelle,43645867,36,Non identifie,"'acces plage ou bord de mer', 'cuisine', 'wifi rapide (521\xa0mbit/s)', 'parking gratuit dans la rue', 'television', 'lave-linge', 'climatisation\xa0: systeme split sans evacuation', 'seche-cheveux', 'cameras de surveillance exterieure et/ou dans les espaces communs'"
Loue studio a 3 km de la mer,,"Saint-Vivien, Nouvelle-Aquitaine, France",65 EUR ,,557 EUR,,2 voyageurs ,1 chambre, 1 lit , 1 salle de bain,"['Cuisine', 'Wifi', 'Parking gratuit sur place', 'Animaux acceptes', 'Television', 'Lave-linge']",https://www.airbnb.fr/rooms/834490979864320046?check_in=2024-07-06&check_out=2024-07-13&source_impression_id=p3_1696868077_hfarz1nvGQR79I9D&previous_page_section_name=1000&federated_search_id=9586ba35-936d-4479-96f7-12e528cc49d7,46.0795,-1.0517,0,01/06/2024 - 30/09/2024,Saint-Vivien,834490979864320046,65,appartement,"'cuisine', 'wifi', 'parking gratuit sur place', 'animaux acceptes', 'television', 'lave-linge'"
Maison 50 m2 climatisee avec terrasse,Logement entier : maison de ville . Chez Laurent2 voyageurs *  * 1 chambre *  * 1 lit *  * 1 salle de bain,"Chatelaillon-Plage, Nouvelle-Aquitaine, France",120 EUR,96 EUR ,819 EUR,,2 voyageurs ,1 chambre, 1 lit , 1 salle de bain,"['Acces plage ou bord de mer', 'Cuisine', 'Wifi', 'Parking gratuit sur place', 'TV 80""', 'Lave-linge (Gratuit)', 'Seche-linge', 'Climatisation centrale', 'Baignoire']",https://www.airbnb.fr/rooms/821673961072529045?check_in=2024-07-06&check_out=2024-07-13&source_impression_id=p3_1696865587_6sqpqdDIMiwYY0j9&previous_page_section_name=1000&federated_search_id=75d41bb0-5334-41ee-93fd-7ea65612aaf6,46.06913,-1.08244,0,01/06/2024 - 30/09/2024,Chatelaillon-Plage,821673961072529045,120,maison,"'acces plage ou bord de mer', 'cuisine', 'wifi', 'parking gratuit sur place', 'tv 80""', 'lave-linge (gratuit)', 'seche-linge', 'climatisation centrale', 'baignoire'"
"Appartement tout confort, idealement situe.",,"Chatelaillon-Plage, Nouvelle-Aquitaine, France",90 EUR,81 EUR ,729 EUR,,4 voyageurs ,1 chambre, 3 lits , 1 salle de bain,"['Vue panoramique sur la ville', 'Cuisine', 'Wifi', 'Parking gratuit sur place', 'Television', 'Ascenseur', 'Lave-linge (Gratuit) dans le logement', 'Refrigerateur', 'Four a micro-ondes']",https://www.airbnb.fr/rooms/622254460814670001?check_in=2024-07-06&check_out=2024-07-13&source_impression_id=p3_1696864962_gk%2BHCUA6Qd5gmk3Z&previous_page_section_name=1000&federated_search_id=57875402-eaa5-4a07-b540-a6aea11819d5,46.07707,-1.08742,0,01/06/2024 - 30/09/2024,Chatelaillon-Plage,622254460814670001,90,appartement,"'vue panoramique sur la ville', 'cuisine', 'wifi', 'parking gratuit sur place', 'television', 'ascenseur', 'lave-linge (gratuit) dans le logement', 'refrigerateur', 'four a micro-ondes'"
Duplex +piscine a 100m de la plage,Logement entier : appartement . Chez Bernadette4 voyageurs *  * 1 chambre *  * 1 lit *  * 1 salle de bain,"La Couarde-sur-Mer, Aquitaine Limousin Poitou-Charentes, France",60 EUR ,,527 EUR,"4,72 *",4 voyageurs ,1 chambre, 1 lit , 1 salle de bain,"['Acces plage ou bord de mer', 'Cuisine', 'Wifi', 'Parking gratuit sur place', 'Piscine', 'Television', 'Ascenseur', 'Depot de bagages autorise', 'Lit pour bebe']",https://www.airbnb.fr/rooms/12895952?check_in=2024-07-06&check_out=2024-07-13&source_impression_id=p3_1696865270_fewU%2Fb6r5J0ODKS6&previous_page_section_name=1000&federated_search_id=3d168d2e-85a9-434a-9633-1bdad0e3bfd9,46.19341,-1.42861,31,01/06/2024 - 30/09/2024,La Couarde-sur-Mer,12895952,60,appartement,"'acces plage ou bord de mer', 'cuisine', 'wifi', 'parking gratuit sur place', 'piscine', 'television', 'ascenseur', 'depot de bagages autorise', 'lit pour bebe'"
Studio a 50m de la plage,Logement entier : appartement . Chez Jean-Philippe2 voyageurs *  * 1 chambre *  * 1 lit *  * 1 salle de bain,"Chatelaillon-Plage, Nouvelle-Aquitaine, France",65 EUR,52 EUR ,446 EUR,,2 voyageurs ,1 chambre, 1 lit , 1 salle de bain,"['Cuisine', 'Parking gratuit sur place', 'Television', 'Seche-cheveux', 'Sejours longue duree autorises']",https://www.airbnb.fr/rooms/932455755303380415?check_in=2024-07-06&check_out=2024-07-13&source_impression_id=p3_1696865270_0EWtFe06kag1eUPf&previous_page_section_name=1000&federated_search_id=3d168d2e-85a9-434a-9633-1bdad0e3bfd9,46.063796303840725,-1.0910215362179083,0,01/06/2024 - 30/09/2024,Chatelaillon-Plage,932455755303380415,65,appartement,"'cuisine', 'parking gratuit sur place', 'television', 'seche-cheveux', 'sejours longue duree autorises'"
L appart  du centre Ville de Chatelaillon  Plage,,"Chatelaillon-Plage, Nouvelle-Aquitaine, France",107 EUR ,,935 EUR,,4 voyageurs ,1 chambre, 1 lit , 1 salle de bain,"['Acces plage ou bord de mer', 'Cuisine', 'Wifi', 'Espace de travail dedie', 'Parking gratuit dans la rue', 'Animaux acceptes', 'Television', 'Lave-linge', 'Seche-cheveux']",https://www.airbnb.fr/rooms/34294523?check_in=2024-07-06&check_out=2024-07-13&source_impression_id=p3_1696865270_5XGIOurKLzWmMUXT&previous_page_section_name=1000&federated_search_id=3d168d2e-85a9-434a-9633-1bdad0e3bfd9,46.0742,-1.0918,59,01/06/2024 - 30/09/2024,Chatelaillon-Plage,34294523,107,appartement,"'acces plage ou bord de mer', 'cuisine', 'wifi', 'espace de travail dedie', 'parking gratuit dans la rue', 'animaux acceptes', 'television', 'lave-linge', 'seche-cheveux'"
APPT AVEC TERRASSE PROCHE MER CHATELAILLON PLAGE,Logement entier : appartement . Chez Corinne4 voyageurs *  * 1 chambre *  * 2 lits *  * 1 salle de bain,"Chatelaillon-Plage, Nouvelle-Aquitaine, France",85 EUR ,,746 EUR,"4,67 *",4 voyageurs ,1 chambre, 2 lits , 1 salle de bain,"['Acces plage ou bord de mer', 'Cuisine', 'Wifi', 'Parking gratuit dans la rue', 'Animaux acceptes', 'Television', 'Lave-linge (Gratuit) dans le logement', 'Patio ou balcon\xa0: prive(e)', 'Seche-cheveux']",https://www.airbnb.fr/rooms/26100987?check_in=2024-07-06&check_out=2024-07-13&source_impression_id=p3_1696865270_gRGa%2F41jPqn8T9cB&previous_page_section_name=1000&federated_search_id=3d168d2e-85a9-434a-9633-1bdad0e3bfd9,46.06549,-1.08995,0,01/06/2024 - 30/09/2024,Chatelaillon-Plage,26100987,85,appartement,"'acces plage ou bord de mer', 'cuisine', 'wifi', 'parking gratuit dans la rue', 'animaux acceptes', 'television', 'lave-linge (gratuit) dans le logement', 'patio ou balcon\xa0: prive(e)', 'seche-cheveux'"
appartement pour 2 personnes,Logement entier : appartement . Chez Maryline4 voyageurs *  * 1 chambre *  * 3 lits *  * 1 salle de bain,"Yves, France",75 EUR ,,701 EUR,"4,74 *",4 voyageurs ,1 chambre, 3 lits , 1 salle de bain,"['Cuisine', 'Parking gratuit sur place', 'Animaux acceptes', 'Television', 'Lave-linge', 'Arriere-cour', 'Lit parapluie', 'Chaise haute', 'Seche-cheveux']",https://www.airbnb.fr/rooms/25118553?check_in=2024-07-06&check_out=2024-07-13&source_impression_id=p3_1696865270_RVz4Qqnsqbg2YQ5o&previous_page_section_name=1000&federated_search_id=3d168d2e-85a9-434a-9633-1bdad0e3bfd9,46.05539,-1.08386,30,01/06/2024 - 30/09/2024,Yves,25118553,75,appartement,"'cuisine', 'parking gratuit sur place', 'animaux acceptes', 'television', 'lave-linge', 'arriere-cour', 'lit parapluie', 'chaise haute', 'seche-cheveux'"
Vue sur mer et jardin prive,,"La Rochelle, Aquitaine Limousin Poitou-Charentes, France",80 EUR ,,686 EUR,,4 voyageurs ,1 chambre, 1 lit , 1 salle de bain,"['Vue sur la baie', 'Vue sur le jardin', 'Acces plage ou bord de mer\xa0: Public ou partage', 'Cuisine', 'Wifi', 'Parking gratuit sur place', ""Piscine Partage exterieure (disponible a certaines periodes, heures d'ouverture specifiques)"", 'Television', 'Baignoire']",https://www.airbnb.fr/rooms/12627449?check_in=2024-07-06&check_out=2024-07-13&source_impression_id=p3_1696865270_hrYi45gmYKTTnSOY&previous_page_section_name=1000&federated_search_id=3d168d2e-85a9-434a-9633-1bdad0e3bfd9,46.14001,-1.16848,40,01/06/2024 - 30/09/2024,La Rochelle,12627449,80,Non identifie,"'vue sur la baie', 'vue sur le jardin', 'acces plage ou bord de mer\xa0: public ou partage', 'cuisine', 'wifi', 'parking gratuit sur place', ""piscine partage exterieure (disponible a certaines periodes, heures d'ouverture specifiques)"", 'television', 'baignoire'"
